"","All.TMB","Coding.TMB","Expressed.NAg","CIN.Prop","HLA.LOH","HRD.LOH","HRD.TelomericAI","HRD.LST","HRD.sum","COL12A1","COL5A1","DNAH5","GATA3","HMCN1","MACF1","MAP3K1","MT-CO1","MT-CYB","MT-ND1","MT-ND4","MT-ND5","MUC16","MYO3A","NEB","PIK3CA","RYR1","RYR2","SPTA1","SYNE1","TP53","TTN"
"T133",303,157,72,0.490348579206645,0,8,24,2,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,4
"T134",30,19,15,0.327896332016668,0,14,17,7,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"T135",189,94,56,0.547788741945543,0,10,21,2,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3
"T136",201,110,64,0.569912988615341,0,5,25,3,33,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0
"T137",35,17,9,0.0843386618487352,0,1,3,1,5,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"T138",50,29,20,0.404318561528706,0,9,10,2,21,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"T139",85,43,33,0.440636765179472,0,13,16,3,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"T140",34,15,20,0.246042104126454,1,2,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"T141",33,19,6,0.140257026199919,0,3,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T142",42,21,8,0.166249835319202,0,7,9,6,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T143",183,96,39,0.490331176914047,0,9,26,25,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"T145",32,19,11,0.187378878335123,0,6,5,4,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"T147",97,50,34,0.167007100275436,0,3,12,4,19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
"T148",60,36,28,0.18468563409821,0,9,17,11,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"T149",35,16,2,0.212991034040632,0,9,17,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"T150",68,50,26,0.355182495463724,0,8,12,1,21,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"T151",125,77,38,0.618368942780959,1,6,15,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1
"T152",341,174,59,0.317326227556462,0,8,8,0,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
