"","STAT1.gsva","GGI.gsva","CytScore.log2","TIDE.Dysfunction","TIDE.Exclusion","TIDE.MDSC","TIDE.CAF","TIDE.TAM.M2","TIDE.IFNG","TIDE.CD274","TIDE.CD8","Danaher.B.cells","Danaher.CD45","Danaher.CD8.T.cells","Danaher.Cytotoxic.cells","Danaher.DC","Danaher.Exhausted.CD8","Danaher.Macrophages","Danaher.Mast.cells","Danaher.Neutrophils","Danaher.NK.CD56dim.cells","Danaher.NK.cells","Danaher.T.cells","Danaher.Th1.cells","Danaher.Treg","B2M","TAP1","TAP2","HLA.A","HLA.B","HLA.C","HLA.DPA1","HLA.DPB1","HLA.E","HLA.F","PD.1","CTLA.4","LAG3","TIGIT","TIM3","PD.L1","PD.L2","CD27","ICOS","IDO1","Act.CD4","Act.CD8","Tem.CD4","Tem.CD8","MDSC","Treg","T.cells","CD8.T.cells","Cytotoxic.lymphocytes","NK.cells","B.lineage","Monocytic.lineage","Myeloid.dendritic.cells","Neutrophils","Endothelial.cells","Fibroblasts","ECM.associated_HM.et.a.gsva","Immune.response_HM.et.a.gsva","Proliferation_HM.et.a.gsva"
"T130",-0.508,0.447,2.748,-1.23,0.45,0.06,0.02,0.01,-1.19,-1.35,-0.88,-2.902,3.903,2.533,1.093,0.475,0.848,2.184,0.656,-1.566,-4.261,-0.499,1.044,-0.47,1.369,5.04129,2.04244,0.76927,4.3941,4.60308,4.08063,3.4617,3.41252,4.06482,1.75147,-0.03861,-0.44017,-0.47467,-0.20311,-1.59953,-0.11317,-0.60664,0.80363,0.24376,-0.46029,1.24776,1.39668,1.02749,1.15503,-1.823,-1.25403,0.290988,2.15443,0.47878,-1.810595,-0.752351,4.998239,-0.88874,-0.309561,3.747286,9.121341,-0.225512491876855,-0.322881685580635,0.609802865030538
"T131",-0.669,-0.597,1.687,-1.03,1.03,0.03,0.14,0.01,-0.73,-0.48,-2.37,-2.564,3.62,0.405,1.045,1.388,0.83,1.911,2.574,0.519,-5.296,-1.086,0.876,-0.013,2.606,4.65278,2.12149,0.9187,3.86314,4.11541,4.03416,2.24132,2.52922,3.77843,1.52425,-0.00282,-0.53474,0.02079,-0.1748,-1.21199,-0.40759,-0.72236,0.44402,0.12402,-1.1932,0.7932,1.0902,0.99747,1.18688,-1.49405,-1.11157,0.357593,-1.167,0.17422,-1.707675,-0.362675,4.563271,-1.92654,2.60048,2.969773,9.816775,-0.234026726679225,-0.586579539237376,-0.392681592989732
"T132",-0.424,-0.695,1.659,-0.24,1.43,-0.05,0.29,0.02,-1.57,-1.18,-2.03,-2.754,4.186,0.931,0.591,1.389,0.057,2.554,6.045,0.057,-4.702,-2.499,0.357,-1.433,0.842,5.33969,2.23031,1.07028,4.66597,4.94217,4.77977,3.61987,3.61257,4.12172,2.24902,0.29691,-0.07978,0.18394,0.30644,-1.75902,-0.15785,-1.09604,0.30802,-0.19984,-0.1658,0.81007,1.03548,1.22591,1.33228,-1.75854,-1.25273,-0.080707,-0.7061,-0.27802,-3.447325,-1.75925,4.049286,-1.12932,0.671133,4.039609,10.138375,0.420105601028864,-0.246788484082677,-0.562868507514497
"T133",-0.391,0.456,2.238,-1.18,0.91,0.05,0.12,-0.01,-0.25,0.21,-1.56,-2.943,4.472,1.68,0.785,2.615,1.026,2.489,3.257,0.947,-6.978,-1.75,1.044,-0.341,2.55,4.69814,2.22538,0.96064,3.95376,4.27428,4.14221,3.14692,3.29647,3.64799,1.70474,0.09025,-0.86484,-0.72367,-0.30378,-1.4966,-0.71854,-1.18862,0.59712,0.37979,-0.76825,1.08027,1.15433,1.04614,1.20176,-1.85885,-1.25699,0.224333,1.062,-0.46556,-2.5825,-1.557138,4.7926,-1.10356,1.239313,3.081215,8.976112,-0.0934243792932259,-0.451245914548046,-0.00700557382955413
"T134",0.699,0.371,6.288,0.57,-1.89,-0.11,-0.16,-0.01,1.29,0.68,1.86,3.805,6.722,5.463,5.063,2.4,3.607,2.958,4.955,0.027,0.981,3.803,5.016,3.194,3.633,5.52863,3.34686,1.68989,4.96764,5.32187,5.06957,4.01257,4.12507,4.58494,2.88085,-1.43606,-1.39241,-1.35165,-1.62213,-1.61109,-1.0934,-1.50969,2.78802,1.4037,-1.99575,1.55505,2.1724,1.15862,1.6646,-2.18408,-1.17542,3.41508,4.5646,3.82516,1.588,4.996587,5.179586,2.5825,0.727707,3.058794,8.537275,-0.495330389433049,0.636519098109419,0.272954961719711
"T135",0.296,0.483,3.377,-0.98,1.15,0.01,0.22,-0.04,-0.79,0.33,-1.82,-1.575,6.209,1.298,1.89,2.758,1.699,4.546,2.205,1.103,-5.378,-0.19,2.246,-0.032,3.041,4.73803,2.15723,1.45799,4.14971,4.26806,3.79344,3.31931,3.35113,3.69392,2.1261,-0.22922,-0.6672,-0.28598,-0.31557,-1.91441,-0.73637,-1.2721,0.83072,0.54112,-0.57258,1.34115,1.22557,1.25306,1.5154,-2.08958,-1.6132,1.154833,-0.4304,1.6488,-1.184225,-0.877813,5.9289,0.67426,1.315933,3.885903,10.070987,-0.398309220866618,0.0943782326536934,0.38349724830465
"T136",0.532999999999999,0.567,3.731,-1.02,-1.08,0,-0.1,-0.07,0.29,1.58,-1.54,0.3,4.71,1.685,2.023,3.73,1.703,3.384,-1.03,-0.029,-2.645,-0.233,1.984,1.128,2.568,5.55471,3.16106,1.729,4.58643,4.90191,4.52047,3.68083,3.69349,3.99676,2.01185,-0.36457,-1.18324,-1.53098,-0.33429,-1.77243,-1.6222,-1.54834,1.64629,0.5989,-2.28344,1.65582,1.44903,1.01335,1.4978,-2.32263,-1.48171,1.10276,0.6741,0.8188,-1.267375,1.285937,5.231129,-0.88894,0.448793,2.654903,7.848987,-0.633771816827023,0.639172941315583,0.652083213356787
"T137",0.436,-0.341,4.466,-0.86,0.12,-0.04,0.08,-0.01,-0.28,0.37,0.33,-0.256,5.892,3.862,2.583,1.407,2.127,3.259,3.373,-0.905,-2.924,-0.117,3.484,1.396,3.17,4.83,2.53602,1.48741,4.36025,4.33581,3.89178,3.41804,3.33045,3.82279,2.09616,-0.34333,-0.96873,-0.36453,-0.75043,-1.60525,-0.76278,-1.14556,1.34007,0.81239,-0.40898,1.11424,1.67217,1.14913,1.394,-1.76202,-1.29575,1.856067,2.256,1.5516,-0.12575,-0.027,5.107429,-0.7732,1.4492,3.531303,8.80125,-0.112240769979243,-0.132993205510442,-0.476283237829587
"T138",0.508,0,3.763,-0.18,-1.07,-0.02,-0.14,0,-0.44,-0.36,-0.25,2.233,5.142,3.242,2.676,2.036,1.829,2.34,3.455,-1.256,-1.921,1.532,3.352,1.843,3.117,5.02692,2.77838,1.29318,4.26322,4.59753,4.70509,2.77342,3.05243,4.06808,2.28407,-0.56494,-0.96565,-0.57913,-0.59786,-1.40767,-0.49934,-0.78022,1.82234,0.87648,-0.78237,1.08965,1.57185,0.96618,1.20222,-1.62806,-0.94781,2.122185,2.20699,1.96388,-0.742915,3.264778,4.671229,0.879388,1.057374,3.578705,7.690697,0.0315571674653344,0.42041582108677,-0.237212370606946
"T139",-0.39,0.547999999999999,3.205,-1.34,0.49,0.07,-0.01,0.02,-1.03,-0.87,-0.54,0.182,4.327,2.896,1.442,0.51,1.345,1.186,2.117,-2.668,-2.691,-0.599,2.365,0.342,2.911,4.72475,2.24669,0.85401,4.0687,4.42367,4.05585,2.57739,2.93989,3.54243,1.73674,-0.2685,-0.66068,-0.58726,-0.42169,-1.08248,-0.2335,-0.47682,1.2613,0.57889,-0.44111,1.35012,1.35896,1.00073,1.15468,-1.54872,-0.78839,1.049627,1.3091,0.86714,-2.945125,2.499262,3.812229,-0.0927,0.235967,3.188715,8.6573,-0.149375359492587,-0.400533867312822,0.469572169506169
